age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category
69,69.2,1.72,39.21,False,Bangalore,private_sector,Medium
32,48.3,1.62,46.03,False,Hyderabad,student,Low
78,114.3,1.74,55.58,False,Hyderabad,self_employed,Medium
38,113.9,1.57,26.57,True,Chennai,self_employed,High
41,64.0,1.88,54.13,False,Hyderabad,self_employed,Low
20,97.2,1.88,52.73,False,Kolkata,self_employed,Low
39,50.7,1.93,19.37,False,Chennai,unemployed,Low
70,57.5,1.57,52.2,False,Mumbai,freelancer,Medium
19,61.3,1.78,22.85,False,Pune,private_sector,Low
47,67.1,1.71,18.16,False,Delhi,private_sector,Low
55,119.7,1.65,39.12,False,Ahmedabad,public_sector,Medium
19,97.3,1.66,20.04,False,Jaipur,student,Medium
81,73.8,1.69,38.0,False,Hyderabad,self_employed,Medium
77,100.3,1.82,36.78,True,Mumbai,unemployed,High
38,113.6,1.77,34.02,False,Lucknow,student,Medium
50,116.9,1.71,23.13,False,Lucknow,self_employed,Medium
75,49.3,1.53,33.14,False,Jaipur,unemployed,Medium
39,74.6,1.53,35.99,True,Delhi,student,High
66,53.0,1.5,32.97,True,Hyderabad,private_sector,High
76,70.2,1.94,26.94,False,Kolkata,private_sector,Medium
59,57.7,1.5,1.37,True,Jaipur,freelancer,High
77,93.5,1.55,35.43,False,Delhi,retired,Medium
32,74.1,1.64,10.52,False,Hyderabad,freelancer,Low
79,62.2,1.86,38.73,False,Mumbai,business_owner,Medium
79,64.9,1.93,45.68,True,Pune,freelancer,High
64,72.0,1.86,30.28,False,Kolkata,self_employed,Medium
79,64.5,1.81,32.77,True,Ahmedabad,public_sector,High
68,79.0,1.73,57.11,True,Lucknow,student,High
72,47.4,1.54,50.91,False,Bangalore,public_sector,Medium
81,66.0,1.93,54.9,False,Mumbai,retired,Medium
20,75.8,1.84,48.92,False,Lucknow,business_owner,Low
68,90.2,1.79,6.98,False,Chennai,student,Medium
24,65.3,1.84,9.37,False,Bangalore,unemployed,Low
38,55.0,1.83,31.83,False,Lucknow,self_employed,Low
56,50.7,1.79,15.14,False,Delhi,business_owner,Medium
35,115.5,1.94,28.86,False,Kolkata,private_sector,Medium
21,76.2,1.91,23.96,True,Lucknow,retired,Medium
77,88.6,1.79,33.19,False,Ahmedabad,business_owner,Medium
31,113.9,1.81,44.94,True,Pune,self_employed,High
26,51.2,1.52,43.07,False,Delhi,freelancer,Low
70,110.7,1.8,31.51,False,Mumbai,business_owner,Medium
19,86.4,1.52,49.43,False,Mumbai,freelancer,Medium
77,57.4,1.76,26.14,False,Mumbai,self_employed,Medium
61,75.8,1.95,53.85,False,Mumbai,private_sector,Medium
25,103.3,1.75,4.74,True,Pune,student,High
64,81.0,1.71,57.3,False,Lucknow,unemployed,Medium
52,118.9,1.64,39.45,False,Hyderabad,private_sector,Medium
53,73.3,1.55,23.11,False,Lucknow,freelancer,Medium
67,101.2,1.83,12.23,True,Chennai,freelancer,High
21,74.5,1.59,29.01,False,Kolkata,unemployed,Medium
19,107.2,1.55,12.08,False,Bangalore,student,Medium
23,87.7,1.69,10.4,False,Hyderabad,business_owner,Medium
71,49.8,1.86,37.23,False,Hyderabad,unemployed,Medium
21,47.8,1.84,31.62,False,Lucknow,retired,Low
71,55.0,1.52,40.37,False,Hyderabad,retired,Medium
80,46.0,1.7,55.81,False,Jaipur,self_employed,Medium
35,50.7,1.74,32.17,True,Jaipur,private_sector,Medium
61,96.9,1.79,35.07,False,Chennai,freelancer,Medium
51,85.1,1.79,5.83,True,Bangalore,student,High
79,101.2,1.66,43.2,False,Ahmedabad,self_employed,Medium
31,113.5,1.75,24.29,False,Pune,private_sector,Medium
65,88.9,1.72,58.62,False,Lucknow,private_sector,Medium
32,99.5,1.9,49.48,False,Pune,self_employed,Low
79,101.8,1.74,31.59,True,Ahmedabad,public_sector,High
57,73.3,1.7,7.83,True,Lucknow,private_sector,High
70,63.1,1.68,51.64,False,Lucknow,public_sector,Medium
41,60.4,1.76,48.09,False,Bangalore,retired,Low
43,63.9,1.86,11.48,True,Pune,retired,Medium
77,65.6,1.74,18.07,False,Jaipur,private_sector,Medium
58,60.5,1.8,47.71,False,Mumbai,retired,Medium
46,110.9,1.83,11.52,False,Pune,student,Medium
32,101.8,1.73,55.11,False,Kolkata,public_sector,Medium
62,48.5,1.69,25.76,False,Kolkata,public_sector,Medium
82,65.2,1.89,5.68,False,Lucknow,private_sector,Medium
26,46.7,1.69,49.04,False,Mumbai,retired,Low
18,82.4,1.71,22.72,False,Delhi,unemployed,Medium
25,80.7,1.95,31.83,False,Ahmedabad,freelancer,Low
80,107.4,1.5,7.18,False,Chennai,self_employed,Medium
28,68.1,1.58,0.65,False,Mumbai,self_employed,Low
25,106.2,1.67,38.46,False,Chennai,public_sector,Medium
52,117.6,1.92,31.15,True,Pune,private_sector,High
52,51.6,1.53,35.82,False,Pune,private_sector,Medium
50,104.4,1.5,47.73,False,Chennai,student,Medium
22,89.2,1.52,38.97,True,Ahmedabad,business_owner,High
58,81.0,1.54,10.9,False,Mumbai,freelancer,Medium
45,76.5,1.52,21.97,False,Delhi,business_owner,Medium
24,103.9,1.72,54.4,False,Lucknow,public_sector,Medium
29,93.0,1.76,46.31,False,Bangalore,self_employed,Medium
51,105.4,1.62,33.62,False,Pune,student,Medium
50,112.7,1.68,15.71,True,Kolkata,student,High
65,91.3,1.54,18.47,False,Ahmedabad,student,Medium
40,118.5,1.65,44.05,False,Bangalore,public_sector,Medium
79,90.6,1.74,51.14,False,Delhi,business_owner,Medium
54,92.7,1.83,40.45,False,Hyderabad,self_employed,Medium
61,86.6,1.5,48.67,False,Lucknow,student,Medium
52,51.8,1.71,46.12,False,Pune,self_employed,Medium
82,99.5,1.63,9.41,False,Lucknow,retired,Medium
64,86.1,1.88,25.72,False,Bangalore,private_sector,Medium
20,78.8,1.82,9.6,False,Lucknow,private_sector,Low
18,113.3,1.77,14.5,True,Hyderabad,self_employed,High
22,67.3,1.62,52.22,True,Bangalore,unemployed,Medium
31,84.3,1.91,28.64,False,Pune,unemployed,Low
44,97.3,1.52,32.35,True,Mumbai,public_sector,High
26,104.7,1.55,11.12,False,Kolkata,public_sector,Medium
32,79.5,1.68,19.08,False,Bangalore,private_sector,Medium
59,108.2,1.56,14.2,False,Jaipur,retired,Medium
68,102.7,1.93,12.77,False,Hyderabad,freelancer,Medium
80,50.0,1.86,38.46,False,Bangalore,business_owner,Medium
69,48.4,1.62,15.78,False,Bangalore,business_owner,Medium
21,91.6,1.76,38.1,True,Jaipur,public_sector,High
40,71.1,1.94,3.98,False,Pune,retired,Low
32,60.7,1.9,8.94,False,Bangalore,public_sector,Low
60,88.5,1.77,16.84,False,Kolkata,freelancer,Medium
46,70.6,1.91,36.02,False,Lucknow,business_owner,Low
53,85.3,1.95,40.71,False,Pune,self_employed,Medium
30,79.5,1.83,26.84,False,Kolkata,public_sector,Low
49,88.9,1.53,27.02,False,Pune,student,Medium
76,75.0,1.68,43.61,True,Kolkata,self_employed,High
45,97.3,1.88,1.44,False,Hyderabad,freelancer,Low
83,58.5,1.6,20.79,True,Kolkata,freelancer,High
59,97.2,1.87,49.21,True,Chennai,public_sector,High
62,75.9,1.55,36.39,True,Kolkata,private_sector,High
79,110.6,1.52,20.57,False,Mumbai,public_sector,Medium
74,83.6,1.67,54.38,False,Mumbai,private_sector,Medium
23,118.0,1.52,46.47,False,Ahmedabad,freelancer,Medium
45,90.1,1.93,16.26,False,Chennai,retired,Low
45,61.8,1.87,38.89,False,Chennai,freelancer,Low
61,106.6,1.86,35.95,True,Lucknow,business_owner,High
47,70.9,1.78,24.37,False,Chennai,self_employed,Low
79,71.1,1.6,22.33,False,Lucknow,self_employed,Medium
79,47.4,1.73,20.94,False,Ahmedabad,unemployed,Medium
18,86.2,1.77,37.22,False,Ahmedabad,unemployed,Low
44,85.1,1.74,26.82,True,Hyderabad,freelancer,High
79,71.7,1.62,50.0,False,Mumbai,business_owner,Medium
20,112.1,1.73,40.34,False,Kolkata,unemployed,Medium
44,54.7,1.72,4.66,False,Kolkata,self_employed,Low
26,69.8,1.95,38.59,True,Jaipur,public_sector,Medium
79,69.1,1.9,16.63,False,Jaipur,retired,Medium
54,51.9,1.71,35.77,False,Delhi,retired,Medium
68,81.1,1.78,40.97,True,Pune,business_owner,High
